Assignee,Inventor Name,Document Type,Publication Year,Filing Year,Document Count
ASS OCTEL (GB),MULQUEEN SIMON CHRISTOPHER (GB); VINCENT MATTHEW (GB); COOK STEPHEN LEONARD (GB),DE,2007.0,2000.0,1
ASS OCTEL (GB),MULQUEEN SIMON CHRISTOPHER (GB); VINCENT MATTHEW (GB); COOK STEPHEN LEONARD (GB),EP,2002.0,2000.0,1
ASS OCTEL (GB); MULQUEEN SIMON CHRISTOPHER (GB); VINCENT MATTHEW (GB); COOK STEPHEN LEONARD (GB),MULQUEEN SIMON CHRISTOPHER (GB); VINCENT MATTHEW (GB); COOK STEPHEN LEONARD (GB),WIPO,2001.0,2000.0,1
ATO INC,HEINTZ CLIFFORD E,DE,1977.0,1977.0,1
AVIATION WORKS LTD (GB),WAKEFORD TIM (GB); BOYLE ROB (GB),WIPO,2021.0,2021.0,1
"AVIATION WORKS LTD (London E2 8DD, GB)",WAKEFORD TIM (GB); BOYLE ROB (GB),EP,2023.0,2021.0,1
AVONDALE ASSOCIATES LTD (GB),SIMPSON ROBERT (GB),WIPO,2013.0,2013.0,1
AVROUTSKI GARRI IZRAILEVICH (RU); AVROUTSKAIA IRINA GARRIEVNA (RU),AVROUTSKI GARRI IZRAILEVICH (RU); AVROUTSKAIA IRINA GARRIEVNA (RU),WIPO,2004.0,2003.0,1
AYAS RENEWALS INC (US),TEGEN MARK G (US); SUTTERLIN WILLIAM RUSTY (US),WIPO,2023.0,2022.0,1
AZAD ABDUL R M (US),AZAD ABDUL R M (US),WIPO,2014.0,2014.0,1
"Adaptive Global Solutions, LLC","Thomas, Michael S.",JP,2021.0,2018.0,1
Aerocore Technologies LLC,"Saens, Giorgi, Ivan",JP,2022.0,2019.0,1
Aerojet General Corporation,"Bullman, Melvin Jay.",JP,2011.0,2007.0,1
Airbus Operations Gezelshaft Mitt Beschlenktel Haftung,"Bogiazis, Christos",JP,2012.0,2010.0,1
Alan Seo Deutschland Gaembehr; Alan Theo Canada Inc.,Susanna Lieber; Kevin Kurbaba,JP,2020.0,2018.0,1
Allied Signal Incorporated,"Klaas, Rainhard M.; Minshiyaru, Bad Jei.; Suriano, Francis Jei.; William, William",JP,1993.0,1990.0,3
Alternative Energy Research Company Limited,"Urs, AEON Jorgevich; Potapov, Yury Semenovich",JP,2013.0,2010.0,1
Arkema France,"Deyubois, Jiyan-Liyusk",JP,2012.0,2010.0,1
BAE SYSTEMS INFORMATION (US),DROBNICKI PAUL F (US); MURPHY MICHAEL S (US); WOLFF DAVID L (US); BAYH CARL RAYMOND (US); ESBIN SCOTT M (US); PURDY RANDOPH A (US),EP,2003.0,2003.0,1
BAE SYSTEMS INFORMATION (US),DROBNICKI PAUL F (US); MURPHY MICHAEL S (US); WOLFF DAVID L (US); BAYH CARL RAYMOND (US); ESBIN SCOTT M (US); PURDY RANDOPH A (US),EP,2006.0,2003.0,1
BAE SYSTEMS PLC (GB),ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),EP,2007.0,2005.0,1
BAE SYSTEMS PLC (GB),ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),EP,2012.0,2005.0,1
BAE SYSTEMS PLC (GB),HOLLAND GRAHAM (GB),WIPO,2020.0,2020.0,1
BAE SYSTEMS PLC (GB); ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),ANSELL DARREN WILLIAM (GB); KIRKHAM PETER MARK (GB),WIPO,2006.0,2005.0,1
"BAE SYSTEMS PLC (London SW1Y 5AD, GB)",HOLLAND GRAHAM ANDREW (GB),EP,2021.0,2020.0,1
"BAE SYSTEMS PLC (London SW1Y 5AD, GB)",HOLLAND GRAHAM ANDREW (GB),EP,2023.0,2020.0,1
BANTUGON MARK KENNEDY (PH),BANTUGON MARK KENNEDY (PH),WIPO,2023.0,2021.0,1
BASF SE,Dietmar Posselto; Frank-Olav Mailing; Arno Lange; Anya Finquia; Claudius Colman,JP,2010.0,2008.0,1
BASF SE,Dietmar Posselto; Frank-Olav Mailing; Arno Lange; Anya Finquia; Claudius Colman,JP,2014.0,2008.0,1
"BASF SE (67056 Ludwigshafen am Rhein, DE)",GEYER KAROLIN (DE); WEISS THOMAS (DE); KASHANI NAWID (DE); RITTIG FRANK (DE); GOYAL ARJUN K (DE); MA QUINGGAO PHILIP (DE); STRITTMATTER JAN (DE); SCHERER MARKUS (DE); RUEHLE THOMAS (DE); BALASUBRAMANIAM VASUDEVAN (US),EP,2018.0,2016.0,1
"BASF SE (67056 Ludwigshafen, DE)",POSSELT DIETMAR (DE); MAEHLING FRANK-OLAF (DE); LANGE ARNO (DE); VINCKIER ANJA (BE); KORMANN CLAUDIUS (DE),EP,2009.0,2008.0,1
"BASF SE (67056 Ludwigshafen, DE)",POSSELT DIETMAR (DE); MAEHLING FRANK-OLAF (DE); LANGE ARNO (DE); VINCKIER ANJA (BE); KORMANN CLAUDIUS (DE),EP,2010.0,2008.0,1
BASF SE (DE),GRABARSE WOLFGANG (DE); HAERING DIETMAR (DE); SCHULZ GERHARD (DE); GRUMBRECHT BASTIAN (DE); KLOSTERHALFEN STEFFEN (DE); KRUEGER CHRISTIAN (DE); WENZEL KURT (DE); ALBA PEREZ ANA (DE); ANDERLOHR CHRISTOPHER ALEC (DE); BINDER MARTIN (DE); PISTILLO ALESSANDRO (DE); LOISEL KATELL (DE); GRUETTNER-MERTEN SABINE (DE); KLOS MICHAEL (DE),WIPO,2023.0,2022.0,1
BASF SE (DE); POSSELT DIETMAR (DE); MAEHLING FRANK-OLAF (DE); LANGE ARNO (DE); VINCKIER ANJA (BE); KORMANN CLAUDIUS (DE),POSSELT DIETMAR (DE); MAEHLING FRANK-OLAF (DE); LANGE ARNO (DE); VINCKIER ANJA (BE); KORMANN CLAUDIUS (DE),WIPO,2008.0,2008.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG (US); CANNON JAMES C (US),EP,2000.0,1998.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG (US); CANNON JAMES C (US),EP,2003.0,2001.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG (US); KSHIRSAGAR GIRISH S (US); CANNON JAMES C (US),EP,2000.0,1998.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG (US); KSHIRSAGAR GIRISH S (US); CANNON JAMES C (US),EP,2004.0,1998.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG; CANNON JAMES C,WIPO,1999.0,1998.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG; CANNON JAMES C,WIPO,2002.0,2001.0,1
BE INTELLECTUAL PTY INC (US),ZHANG YUNCHANG; KSHIRSAGAR GIRISH S; CANNON JAMES C,WIPO,1999.0,1998.0,1
"BE INTELLECTUAL PTY INC (Wellington, Florida 33414, US)",ZHANG YUNCHANG (US); CANNON JAMES C (US),EP,2017.0,2001.0,1
"BELL HELICOPTER TEXTRON INC (Fort Worth, TX 76101, US)",LEACHMAN JOSEPH DANIEL (US); VANN DANIELLE (US),EP,2019.0,2018.0,1
BENDIX AVIAT CORP,BENDIX AVIAT CORP,DE,1952.0,1950.0,1
BENDIX AVIAT CORP,BENDIX AVIAT CORP,DE,1953.0,1950.0,1
BENDIX AVIAT CORP,BENDIX AVIAT CORP,DE,1955.0,1950.0,1
BENDIX AVIAT CORP,BENDIX AVIAT CORP,DE,1958.0,1953.0,1
BENDIX AVIAT CORP,OWEN JOHN CHESTER,DE,1957.0,1956.0,1
BETA AIR LLC (US),WIEGMAN HERMAN (US),WIPO,2023.0,2023.0,2
"BIOACCELERGY VENTURES CORPORATION (Houston, TX, US)","FIATO, Rocco A. (Basking Ridge, NJ, US); DE SWART, Jeroen W.A. (3273AW Westmaas, NL)",WIPO,2024.0,2023.0,1
BLACK LIGHT POWER INC,RANDELL L MILLS,JP,2019.0,2018.0,1
"BLACKLIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL L (US),EP,2019.0,2011.0,1
"BLACKLIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL L (US),EP,2020.0,2011.0,1
BLACKLIGHT POWER INC (US),MILLS RANDELL (US),WIPO,2015.0,2014.0,1
BLACKLIGHT POWER INC (US),MILLS RANDELL L (US),EP,2012.0,2010.0,1
BLACKLIGHT POWER INC (US),MILLS RANDELL L (US),EP,2013.0,2011.0,1
BLACKLIGHT POWER INC (US),MILLS RANDELL L (US),EP,2016.0,2010.0,1
BLACKLIGHT POWER INC (US),MILLS RANDELL L (US),WIPO,2015.0,2015.0,1
BLACKLIGHT POWER INC (US); MILLS RANDELL L (US),MILLS RANDELL L (US),WIPO,2011.0,2010.0,1
BLACKLIGHT POWER INC (US); MILLS RANDELL L (US),MILLS RANDELL L (US),WIPO,2011.0,2011.0,1
BLANK DAVID A (US),BLANK DAVID A (US),EP,2013.0,2011.0,1
BLANK DAVID A (US),BLANK DAVID A (US),WIPO,2011.0,2011.0,1
"BNSF RAILWAY CO (Fort Worth, TX 76131, US)",GRAETZ TODD (US); GRISSUM GARY (US); MISCHKE MICHAEL (US),EP,2020.0,2018.0,1
BNSF RAILWAY CO (US),GRAETZ TODD (US); GRISSUM GARY (US); MISCHKE MICHAEL (US),WIPO,2019.0,2018.0,1
BNSF RAILWAY COMPANY,"Greets, Todd; Grisam, Gerry; Mishke, Michael",JP,2020.0,2018.0,1
BOCK SAM (CA); THORPE GEORGE (CA),BOCK SAM (CA); THORPE GEORGE (CA),WIPO,2014.0,2014.0,1
BOEING CO,JASON SCOTT DAMAZO; EDDIE KWON; ARTHUR C DAY; JOHN RUBRECHT LOWELL,JP,2021.0,2020.0,1
BOEING CO,KEVIN O'BRIEN GAW; DYLAN E JONES; MICHAEL H LARSON; BELUR N SHIVASHANKARA; RANDY J GROVE; DAVID JOHN BARENE; JESTON LINGELBACH; KORY SHAFFER; DAVID W FOUTCH,JP,2018.0,2017.0,1
BOEING CO,MICHAEL PATRICK SCIARRA; ALFREDO ZAMORA CAMPOS; BRENT LOUIS HADLEY; PATRICK EAMES; JOSHUA M TAYLOR,JP,2013.0,2013.0,1
"BOEING CO (Chicago, IL 60606-1596, US)",DAMAZO JASON S (US); KWON EDDIE (US); DAY ARTHUR C (US); LOWELL JOHN R (US),EP,2017.0,2016.0,1
"BOEING CO (Chicago, IL 60606-1596, US)",DAMAZO JASON S (US); KWON EDDIE (US); DAY ARTHUR C (US); LOWELL JOHN R (US),EP,2022.0,2016.0,1
"BOEING CO (Chicago, IL 60606-1596, US)",NAVARRO FRANCISCO (ES); VALLS HERNANDEZ ERNESTO (ES); VILAPLANA MIGUEL (ES); CHESSA PIERO (ES); QUEREJETA MASSAVEU CARLOS (ES),EP,2018.0,2013.0,1
BOEING CO (US),NELSON CHESTER P (US),EP,2003.0,2002.0,1
BOEING CO (US); COMBS WILLIAM E (US),COMBS WILLIAM E (US),WIPO,2007.0,2006.0,1
BOEING CO (US); NELSON CHESTER P (US),NELSON CHESTER P (US),WIPO,2002.0,2002.0,1
"BOSCH GMBH ROBERT (70442 Stuttgart, DE)",MILLER FRANK (DE); ALBRODT HARTMUT (DE),EP,2006.0,2003.0,1
BOSCH GMBH ROBERT (DE),CICHON MARTIN (DE),DE,2011.0,2009.0,1
BOSCH GMBH ROBERT (DE),MARINO MICHAEL GIUSEPPE (DE); DRILLKENS JULIA (DE); RINGEL ANTON (DE); HACKENBERG JUERGEN (DE),WIPO,2023.0,2022.0,1
"BOSCH GMBH ROBERT (Stuttgart, DE)",RINGEL ANTON (DE); HACKENBERG JUERGEN (DE); DRILLKENS JULIA (DE); MARINO MICHAEL GIUSEPPE (DE),DE,2023.0,2021.0,1
BOSIO BLANCO CARLOS CONRADO (ES); BLANCO ROBERTO HORACIO (AR); KLARENBERG ALEJANDRO JOSÉ (AR),BOSIO BLANCO CARLOS CONRADO (ES); BLANCO ROBERTO HORACIO (AR); KLARENBERG ALEJANDRO JOSÉ (AR),WIPO,2016.0,2016.0,1
"BOSTIK LIMITED (Leicester LE4 6BW, GB); USM CORPORATION","ALLEN, CHRISTOPHER MACLAREN; HINCKLIEFF, IAN RUSSEL",EP,1985.0,1981.0,1
BP BIOFUELS UK LTD (GB); DUMENIL JEAN-CHARLES (GB),DUMENIL JEAN-CHARLES (GB),WIPO,2010.0,2009.0,2
BP BIOFUELS UK LTD (GB); DUMENIL JEAN-CHARLES (GB),DUMENIL JEAN-CHARLES (GB),WIPO,2011.0,2011.0,2
BP CORP NORTH AMERICA INC (US),BORDEN JACOB (US); SHABAKER JOHN W (US),EP,2013.0,2011.0,1
BP CORP NORTH AMERICA INC (US); APT KIRK (US); BORDEN JACOB (US); HANSEN JON (US); SELLERS MARTIN (GB); BEHRENS PAUL WARREN (US),APT KIRK (US); BORDEN JACOB (US); HANSEN JON (US); SELLERS MARTIN (GB); BEHRENS PAUL WARREN (US),WIPO,2014.0,2014.0,1
BP CORP NORTH AMERICA INC (US); BINDER JOSEPH (US); BORDEN JACOB (US); CHAPPELL MICHAEL (US); PARAG SHAH (US),BINDER JOSEPH (US); BORDEN JACOB (US); CHAPPELL MICHAEL (US); PARAG SHAH (US),WIPO,2014.0,2013.0,1
BP CORP NORTH AMERICA INC (US); BINDER JOSEPH B (US); BORDEN JACOB (US); CHAPPELL MICHAEL L (US),BINDER JOSEPH B (US); BORDEN JACOB (US); CHAPPELL MICHAEL L (US),WIPO,2013.0,2013.0,1
BP CORP NORTH AMERICA INC (US); BORDEN JACOB (US); SHABAKER JOHN W (US),BORDEN JACOB (US); SHABAKER JOHN W (US),WIPO,2012.0,2011.0,1
"BP Corporation North America, Inc.","Borden, Jacob; Shabaker, john w",JP,2014.0,2011.0,1
BP OIL INT (GB),BAZZANI ROBERTO VITTORIO (GB); BENNETT PAUL JAMES (GB); BUTLER GRAHAM (GB); CLARK ALISDAIR QUENTIN (GB); COOPER JOHN HARDY (GB),DE,2004.0,1999.0,1
"BR INVENT HOLDING LLC (Scottsdale, AZ 85250-7970, US); STEIN STUART ALAN (Tucson, AZ 85705, US); SMITH CRAIG STEVEN (Littleton, CO 80127, US)",STEIN STUART ALAN (US); SMITH CRAIG STEVEN (US); STEIN JEFFREY HOLT (US),EP,2022.0,2017.0,1
BRAY BURNERS LTD (GB); BROWN RYAN (GB); WOOD GRAHAM (GB),BROWN RYAN (GB); WOOD GRAHAM (GB),WIPO,2001.0,2001.0,1
BREINLICH RICHARD DR (DE),EICKMANN KARL (JP),DE,1983.0,1982.0,1
"BRILLIANT LIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL (US),EP,2017.0,2014.0,1
"BRILLIANT LIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL (US),EP,2020.0,2014.0,1
"BRILLIANT LIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL (US),EP,2022.0,2014.0,1
"BRILLIANT LIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL L (US),EP,2017.0,2015.0,1
"BRILLIANT LIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL L (US),EP,2019.0,2010.0,1
"BRILLIANT LIGHT POWER INC (Cranbury, NJ 08512, US)",MILLS RANDELL L (US),EP,2021.0,2015.0,1
BRILLIANT LIGHT POWER INC (US),MILLS RANDELL L (US),WIPO,2016.0,2015.0,1
BRILLIANT WRITE POWER INC,RANDELL L MILLS,JP,2021.0,2020.0,1
BRILLIANT WRITE POWER INC,RANDELL MILLS,JP,2019.0,2019.0,1
"BRULIC LTD (Hove, East Sussex BN3 2FA, GB)",PITMAN JAMES (GB),EP,2021.0,2019.0,2
"BRULIC LTD (Hove, East Sussex BN3 2FA, GB)",PITMAN JAMES (GB),EP,2023.0,2019.0,1
BUENDIA JOSE (FR); PERRICHON CLAUDE ANNIE (FR); GIRY FRANCOIS (FR); PICCALUGA PIERRE (CH),BUENDIA JOSE (FR); PERRICHON CLAUDE ANNIE (FR); GIRY FRANCOIS (FR); PICCALUGA PIERRE (CH),EP,2012.0,2010.0,1
BUENDIA JOSE (FR); PERRICHON CLAUDE ANNIE (FR); GIRY FRANCOIS (FR); PICCALUGA PIERRE (CH),BUENDIA JOSE (FR); PERRICHON CLAUDE ANNIE (FR); GIRY FRANCOIS (FR); PICCALUGA PIERRE (CH),WIPO,2011.0,2010.0,1
BURRAGE ROBERT GRAHAM (GB),BURRAGE ROBERT GRAHAM (GB),EP,2006.0,2004.0,1
BURRAGE ROBERT GRAHAM (GB),BURRAGE ROBERT GRAHAM (GB),EP,2012.0,2004.0,1
BURRAGE ROBERT GRAHAM (GB),BURRAGE ROBERT GRAHAM (GB),WIPO,2005.0,2004.0,1
BURSTEIN ROY (US),BURSTEIN ROY (US),WIPO,1989.0,1987.0,1
Bioenergy Technologies Society A Responsibility Limited,Yakimov Valentino,JP,2022.0,2020.0,1
Black Light Power Incorporated,"Mills, Randell El.",JP,2013.0,2010.0,1
Black Light Power Incorporated,"Mills, Randell El.",JP,2013.0,2011.0,1
Black Light Power Incorporated,"Mills, Randell El.",JP,2014.0,2012.0,1
Black Light Power Incorporated,"Mills, Randell El.",JP,2015.0,2012.0,1
Bloom Energy Corporation,"Ballantyne, Earn; Mahler, Jessica; Parker, Ross; Richards, Gilbert; Sharp, Barry; Dan, scene; Lara, Santi; Otool, John; Trevisan, David; Kotturi, Karl; Weingertner, David; Vines, Daniel",JP,2021.0,2018.0,1
