Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP2019528212A,JP,2019-10-10,３ホイールターボマシンを用いた環境制御システムの改善された予冷方法および航空機,ガスタービンエンジン（１２）を使用して抽気を航空機（１０）の環境制御システム（４８）に供給する方法および航空機は、環境制御システム（４８）に対する抽気需要を決定することと、低圧および高圧抽気（６６、６８）を選択的に環境制御システム（４８）供給することとを含み、選択的供給は、調整空気流が決定された抽気需要を満たすように制御される。【選択図】図６,"Astron, Dominique Patrick",GE Aviation Systems LLC,2017-08-01
JP2023538837A,JP,2023-09-12,エンジニア再認証アシスタント,リアルタイムデータ取得及び記録システム（ＤＡＲＳ）、ＤＡＲＳビューア、並びにモバイル資産のためのビデオ分析論システムを利用するエンジニア再認証アシスタント。ＤＡＲＳは、データレコーダ、搭載データマネージャ、及び少なくとも１つのローカルメモリモジュールを含む。ビデオ分析論システムは、モバイル資産オペレータの動作パフォーマンスに基づいて、重要イベント及び規制要件について、少なくとも１つのカメラからのビデオデータ及びデータレコーダからの動作データを処理する。処理されたビデオデータ及び動作データは、エピソード、例外、及びユーザコメントと共に、ウェブポータルを特徴とするディスプレイデバイス上の表示である。エンジニア再認証アシスタントは更に、モバイル資産オペレータの認証若しくは認証解除のための自動化されたスコアベースの推奨を判定することができるか、又は全体的非準拠に対してモバイル資産オペレータを直接認証又は認証解除することができる。【選択図】図１,Jordan Lawrence Bee.; Pardke Mikhail; messina frank; Martinez Roger; Dinesh Divya,"WI-TRONIX,LLC",2021-08-05
JP2023517560A,JP,2023-04-26,廃棄物および／またはバイオマスから有用な製品を製造する方法,本発明は、変動する組成特性の炭素質供給原料から有用な製品を製造する方法を提供し、この方法は、変動する組成特性の炭素質供給原料をガス化ゾーンに連続的に供給する工程と、ガス化ゾーンで炭素質供給原料をガス化して原料合成ガスを得る工程と、ガス化ゾーンから原料合成ガスの少なくとも一部を回収して、回収した原料合成ガスの少なくとも一部を部分酸化ゾーンに供給する工程と、部分酸化ゾーンで原料合成ガスのＨ２：ＣＯ比を平衡化し、平衡合成ガスを得ること；部分酸化ゾーンから平衡合成ガスの少なくとも一部を回収し、ガスを処理して不純物を除去し、上質合成ガスを生成すること；上質合成ガスの少なくとも一部のＨ２：ＣＯ比を場合により調整して、調整された上質合成ガスを得ること；および場合により調整された上質合成ガスを、使用率を必要とするさらなる化学反応で有用物に変換すること；ここで、上質合成ガスのＨ２：ＣＯ比は使用率を下回り、上質合成ガスのＨ２：ＣＯ比の少なくとも一部の場合による調整は、上質合成ガス中のＨ２：ＣＯ比を使用率のレベル、それに近い値またはそれ以上に高めるのに有効であり、ここで原料合成ガスのＨ２：ＣＯ比は、炭素質原料の組成特性の変動の結果としてプロセスの運転中に±ｘのパーセンテージで変動し、平衡合成ガスのＨ２：ＣＯ比は、プロセスの運転中に変動しないか、炭素質原料の組成特性の変動の結果としてプロセスの運転中に±ｙのパーセンテージで変動し、ｙはｘより低い割合である。【選択図】なし,"Grieger, Ivan Phillip; Harris, Roger Allen; King, Neal Alexander; Deshmukh, Somitra Earl.; Chiu and Ziyang; Gupta, Ashish",Velocies Technologies Limited,2021-03-16
JP2013516487A,JP,2013-05-13,再生可能な化学物質を調製するための統合的方法,"Isobutene, isoprene, and butadiene are obtained from mixtures of C4 and/or C5 olefins by dehydrogenation. The C4 and/or C5 olefins can be obtained by dehydration of C4 and C5 alcohols, for example, renewable C4 and C5 alcohols prepared from biomass by thermochemical or fermentation processes. Isoprene or butadiene can be polymerized to form polymers such as polyisoprene, polybutadiene, synthetic rubbers such as butyl rubber, etc. in addition, butadiene can be converted to monomers such as methyl methacrylate, adipic acid, adiponitrile, 1,4-butadiene, etc. which can then be polymerized to form nylons, polyesters, polymethylmethacrylate etc.","Peters, Matthew W..; Taylor, Joshua Dee.; Jenny, Madeleine M.; Henton, David E.; Manzer, Leo Yi.","Zivo, Inc.",2011-01-07
JP7040707B2,JP,2022-03-23,付加製造された熱交換器,"A heat exchanger and a method for additively manufacturing the heat exchanger are provided. The heat exchanger includes a plurality of fluid passageways that are formed by additive manufacturing methods which enable the formation of fluid passageways that are smaller in size, that have thinner walls, and that have complex and intricate heat exchanger features that were not possible using prior manufacturing methods. For example, the fluid passageways may be curvilinear and may include heat exchanging fins that are less than 0.01 inches thick and formed at a fin density of more than four heat exchanging fins per centimeter. In addition, the heat exchanging fins may be angled with respect to the walls of the fluid passageways and adjacent fins may be offset relative to each other.","Senoun, Mohamed, El Hasin; Bonner, James, Fitzgerald; Levine, Rachel, Win",GENERAL ELECTRIC COMPANY,2018-02-20
JP2018535287A,JP,2018-11-29,フローにおいて用いるための会合性ポリマーおよび関連組成物、方法ならびにシステム,ここに説明するのは、非極性組成物がフローにあるときに使用することができる非極性組成物の物理的および/または化学的性質をコントロールすることが可能な会合性ポリマー、および関連組成物、方法およびシステムである。ここに記載する会合性ポリマーは、フロー条件下で実質的に変化しない分子量を有する最長スパンおよび非極性骨格の端部にて提示される官能基を伴い、会合相互作用を、別の会合性官能基と、それぞれの会合相互作用の強さが原子間の共有結合の強さよりも小さくなるように、特に、骨格原子間の共有結合の強さよりも小さくなるように、会合定数（k）とともに行うことが可能な会合性官能基によって形成される非極性骨格の端部にて提示される多数の官能基を伴う非極性骨格を有する。,Julia A Cornfield; Min-Shin way,The Regents of The University of California,2016-09-19
JP6375714B2,JP,2018-08-22,移動体運行管理システム,,Tadashi Ozawa; Takaaki Ishikawa; Toshio Furukawa; Keiichiro Nagashima,Mitsubishi Electric Corporation,2014-06-18
JP2010520343A,JP,2010-06-10,生きていない有機材料の帯電防止処理と導電性改善に適した添加剤組成物,"An additive formulation suitable for antistatic modification and improving the electrical conductivity of inanimate organic material, consisting essentially of (A) from 1 to 50% by weight of an olefin-sulfur dioxide copolymer, (B) from 1 to 50% by weight of a compound which comprises one or more basic nitrogen atoms and has at least one relatively long-chain linear or branched hydrocarbon radical having at least four carbon atoms or an equivalent structural element which ensures the solubility of component (B) in the inanimate organic material, (C) from 0.1 to 30% by weight of an oil-soluble acid and (D) from 1 to 80% by weight of a high-boiling organic solvent which consists of one or more molecule types, where at least 80% by weight of these molecule types have a boiling point of more than 150° C. at standard pressure, where the sum of all components adds up to 100% by weight.",Dietmar Posselto; Frank-Olav Mailing; Arno Lange; Anya Finquia; Claudius Colman,BASF SE,2008-02-28
JP2014518585A,JP,2014-07-31,H2Oベース電気化学的水素-触媒パワーシステム,"An electrochemical power system is provided that generates an electromotive force (EMF) from the catalytic reaction of hydrogen to lower energy (hydrino) states providing direct conversion of the energy released from the hydrino reaction into electricity, the system comprising at least two components chosen from: H2O catalyst or a source of H2O catalyst; atomic hydrogen or a source of atomic hydrogen; reactants to form the H2O catalyst or source of H2O catalyst and atomic hydrogen or source of atomic hydrogen; and one or more reactants to initiate the catalysis of atomic hydrogen. The electrochemical power system for forming hydrinos and electricity can further comprise a cathode compartment comprising a cathode, an anode compartment comprising an anode, optionally a salt bridge, reactants that constitute hydrino reactants during cell operation with separate electron flow and ion mass transport, and a source of hydrogen. Due to oxidation-reduction cell half reactions, the hydrino-producing reaction mixture is constituted with the migration of electrons through an external circuit and ion mass transport through a separate path such as the electrolyte to complete an electrical circuit. A power source and hydride reactor is further provided that powers a power system comprising (i) a reaction cell for the catalysis of atomic hydrogen to form hydrinos, (ii) a chemical fuel mixture comprising at least two components chosen from: a source of H2O catalyst or H2O catalyst; a source of atomic hydrogen or atomic hydrogen; reactants to form the source of H2O catalyst or H2O catalyst and a source of atomic hydrogen or atomic hydrogen; one or more reactants to initiate the catalysis of atomic hydrogen; and a support to enable the catalysis, (iii) thermal systems for reversing an exchange reaction to thermally regenerate the fuel from the reaction products, (iv) a heat sink that accepts the heat from the power-producing reactions, and (v) a power conversion system.","Mills, Randell El.",Black Light Power Incorporated,2012-03-30
JP5809348B2,JP,2015-11-10,Ｈ２Ｏベース電気化学的水素−触媒パワーシステム,"An electrochemical power system is provided that generates an electromotive force (EMF) from the catalytic reaction of hydrogen to lower energy (hydrino) states providing direct conversion of the energy released from the hydrino reaction into electricity, the system comprising at least two components chosen from: H2O catalyst or a source of H2O catalyst; atomic hydrogen or a source of atomic hydrogen; reactants to form the H2O catalyst or source of H2O catalyst and atomic hydrogen or source of atomic hydrogen; and one or more reactants to initiate the catalysis of atomic hydrogen. The electrochemical power system for forming hydrinos and electricity can further comprise a cathode compartment comprising a cathode, an anode compartment comprising an anode, optionally a salt bridge, reactants that constitute hydrino reactants during cell operation with separate electron flow and ion mass transport, and a source of hydrogen. Due to oxidation-reduction cell half reactions, the hydrino-producing reaction mixture is constituted with the migration of electrons through an external circuit and ion mass transport through a separate path such as the electrolyte to complete an electrical circuit. A power source and hydride reactor is further provided that powers a power system comprising (i) a reaction cell for the catalysis of atomic hydrogen to form hydrinos, (ii) a chemical fuel mixture comprising at least two components chosen from: a source of H2O catalyst or H2O catalyst; a source of atomic hydrogen or atomic hydrogen; reactants to form the source of H2O catalyst or H2O catalyst and a source of atomic hydrogen or atomic hydrogen; one or more reactants to initiate the catalysis of atomic hydrogen; and a support to enable the catalysis, (iii) thermal systems for reversing an exchange reaction to thermally regenerate the fuel from the reaction products, (iv) a heat sink that accepts the heat from the power-producing reactions, and (v) a power conversion system.","Mills, Randell El.",Black Light Power Incorporated,2012-03-30
JP2017503855A,JP,2017-02-02,生物学的原材料から得られたパラフィンフラクションを含む組成物及びそれを製造する方法,組成物であって、組成物の総重量に基づいて４０‐５０重量％のＣ１４パラフィン、及び組成物の総重量に基づいて３５‐４５重量％のＣ１５パラフィン、を含み、Ｃ１４パラフィン及びＣ１５パラフィンは生物学的原材料から製造されている、組成物。,"Aalto, Pekka; Sand Bali, Katy; Neiman, Tomi; Hakora, maya","Neste Yurkinen, Salmon, Yukitua",2014-12-30
JP2787061B2,JP,1998-08-13,【発明の名称】操縦制御用ディスプレイ,"PURPOSE:To provide a display screen, by which optimum display to a pilot can be made, and the flying condition of a pilotless aircraft can be understood and judged easily and precisely by the pilot by collectively displaying various kinds of flying data on a special-purpose control display, and providing a function capable of changing the display screen so as to be suitable for the pilot. CONSTITUTION:Plural pilotless aircrafts 11a-11n are loaded with telemeter signal transmitters 9a-9n, and control signal receivers 10a-10n, and on the other hand, a control display system special for each aircraft is provided on the ground side. Various kinds of flying data transmitted from the pilotless aircrafts 1a-11n is collectively displayed on one screen of the control display 1a-1n, and the display screen of the control display 1a-1n is changed depending on pilots 4a-4n, or switched to be displayed in scroll or dividing method.",YOKOTA KOICHI,NIPPON KOKU DENSHI KOGYO KK,1993-04-28
JP2015513531A,JP,2015-05-14,エネルギー変換および生成のための方法およびシステム,本発明は、電気エネルギーを化学エネルギーに変換する方法およびシステムに関するものであり、任意選択的にそのエネルギーを回収して必要に応じて電気を発生させる方法およびシステムに関する。好ましい実施形態において、電気エネルギー源の少なくとも一部は再生可能なエネルギー源から得られるものである。本発明によれば、ＣＯ２を大気中に放出することなく、利便性の高いエネルギー変換および生成が可能となる。【選択図】図１,Robert Simpson,Thermogas Dynamics Limited,2013-02-18
JP6450397B2,JP,2019-01-09,生物学的原材料から得られたパラフィンフラクションを含む組成物及びそれを製造する方法,"A composition, including 40-50 wt-% C14 paraffins, based on the total weight of the composition, and 35-45 wt-% C15 paraffins, based on the total weight of the composition, wherein the C14 and C15 paraffins are produced from a biological raw material.","Aalto, Pekka; Sand Bali, Katy; Neiman, Tomi; Hakora, maya","Neste Yurkinen, Salmon, Yukitua",2014-12-30
JP2022534294A,JP,2022-07-28,タンデム翼および分散型推進システムを使用する新規の航空機設計,本明細書に説明される主題は、航空機設計に関し、より具体的に、タンデム翼および分散型推進システムを使用する航空機設計に関する。説明される実施形態は、空気力学、推進力、構造、および安定性／制御の間の相乗効果を可能にする。一実施形態では、タンデム翼は、第１の翼組と第２の翼組とを含み、第１の翼組と第２の翼組の各々は、翼幅に沿って設置されるスラスタの組を伴う翼幅をする。一実施形態では、航空機は、前翼組および後翼組であって、各翼組は、右舷翼および左舷翼を有し、各翼は、翼端を有する、前翼組および後翼組と、前翼組の幅にわたって分配された複数の固定スラスタと、後翼組の幅にわたって分配された複数の固定スラスタとを備えている。,"Hosseini, Cave","Craft Aerospace Technologies, Incorporated",2020-05-28
JP2020518515A,JP,2020-06-25,一体型陸上−航空輸送システム,一体型陸上−航空輸送システムインフラストラクチャの一部として機能する乗客運搬空中車両は、ルートの臨界的な部分を航空輸送によって完結することを可能にする。いくつかの実装において、空中車両（ＡＶ）は、使用サイクルを通じて単一のユニットのままであるが、路上走行可能な車両を形成するためにスタンドアロン陸上車両アセンブリ（ＳＧＶ）との統合に対してＡＶを最適化するために、再構成可能な推進システムを利用する。他の実装において、客室は交互に、空中車両を形成するためにエアロモジュールと、及び陸上車両を形成するためにＳＧＶと、典型的には客室ユニット内に配置されるエアロモジュール用の動力源の少なくとも一部と、ドッキングする。【選択図】図３ｄ,"Tal, Oren; Tal, Leuven",Flyon Aero Systems LDT.,2018-04-29
JP2013542547A,JP,2013-11-21,電気化学的水素-触媒パワ-・システム,"An electrochemical power system is provided that generates an electromotive force (EMF) from the catalytic reaction of hydrogen to lower energy (hydrino) states providing direct conversion of die energy released from the hydrino reaction into electricity, the system comprising at least two components chosen from: a catalyst or a source of catalyst; atomic hydrogen or a source of atomic hydrogen; reactants to form the catalyst or source of catalyst and atomic hydrogen or source of atomic hydrogen, and one or more reactants to initiate the catalysis of atomic hydrogen. The electrochemical power system for forming hydrinos and electricity can further comprise a cathode compartment comprising a cathode, an anode compartment comprising an anode, optionally a salt bridge, reactants that constitute hydrino reactants during cell operation with separate electron flow and ion mass transport, and a source of hydrogen. Due to oxidation-reduction cell half reactions, the hydrino-producing reaction mixture is constituted with, the migration of electrons through an external circuit and ion mass transport through a separate path such as the electrolyte to complete an electrical circuit. A power source and hydride reactor is further provided that powers a power system comprising (i) a reaction cell for the catalysis of atomic hydrogen to form hydrinos, (ii) a chemical fuel mixture comprising at least two components chosen from: a source of catalyst or catalyst; a source of atomic hydrogen or atomic hydrogen; reactants to form the source of catalyst or catalyst and a source of atomic hydrogen or atomic hydrogen; one or more reactants to initiate the catalysis of atomic hydrogen; and a support to enable the catalysis, (iii) thermal systems for reversing an exchange reaction to thermally regenerate the fuel from the reaction products, (iv) a heat sink that accepts the heat from the power-producing reactions, and (v) a power conversion system.","Mills, Randell El.",Black Light Power Incorporated,2011-03-17
JP2015520251A,JP,2015-07-16,光開始剤を有する硫黄含有ポリマーを基礎とする母材及びシーラント、硬化及び被覆する方法並びにその使用,本発明は、硬化を、指令によりかつシーラントの不粘着表面が硬化開始時点から０．０５〜５分の不粘着時間で達成されるように急速に行う、硫黄含有ポリマーを基礎とする母材及び硬化剤からなる混合物の硬化方法、並びに硫黄含有ポリマーを有するシーラントの製造及び硬化のための母材及び硬化剤からなる混合物を用いた基材の被覆方法であって、混合物は、イソシアナート含分を有する未硬化の混合物であり、母材は未硬化でありかつ、ポリエーテル、ポリチオエーテル、ポリスルフィド、それらのコポリマー及び／又はそれらの混合物を基礎とするメルカプト末端基のベースポリマーを有し、未硬化の母材、硬化剤又はその両方は、立体障害の第３級アミンを基礎とする少なくとも１つの光開始剤を有し、少なくとも１つの光開始剤は高エネルギーの化学線の作用の際に、第３級アミンを基礎とする１分子当たり少なくとも１つのラジカルを脱離し、このラジカルから、特にＨ引き抜きにより活性触媒が形成され、この活性触媒は、シーラントの硬化のための触媒として作用することができ、この混合物は、高エネルギーの化学線の作用時点から−１０〜＋７０℃の温度範囲で硬化し、この混合物は硬化開始時点からシーラントといわれる、基材の被覆方法に関する。本発明は、更に、相応する母材Ａ、混合物Ｂ、硬化剤及びシーラント系並びにこれらを有する航空機にも関する。,Miroslav kralev; Bian Zie Firth; Peter Bons; Francisco Dies,Chemetall GmbH,2013-04-09
JP2015531228A,JP,2015-11-02,森林管理システム,森林（２０６）を管理するための方法及び装置が提供される。森林管理システム（１００）は、森林マネージャー（２０２）を備える。森林マネージャー（２０２）は、一群の自律したビークル（２２６）から森林（２０６）についての情報（２２０）を受信し、情報（２２０）から森林（２０６）の状態（３０４）についての結果（３０２）を発生させるために情報（２２０）を分析し、かつ結果（３０２）を使用して前記一群の自律したビークル（２２６）の作動を調整するように構成される。【選択図】図１,"Vian, john; Lowe, George M.; Prusch Vulco, Joshua",The Boeing Company,2013-08-09
JP6461795B2,JP,2019-01-30,森林管理システム,"A method and apparatus of managing a forest. A forestry management system comprises a forestry manager. The forestry manager is configured to receive information about a forest from a group of autonomous vehicles, analyze the information to generate a result about a state of the forest from the information, and coordinate operation of the group of autonomous vehicles using the result.","Vian, john; Lowe, George M.; Prusch Vulco, Joshua",The Boeing Company,2013-08-09
JP6430885B2,JP,2018-11-28,新規な往復動機械およびその他の装置,,"Hindarks, Mitoja, Victor","Hindarks, Mitoja, Victor",2015-04-24
JPWO2019083030A1,JP,2020-12-17,カーボンナノチューブ被覆電線およびその施工方法、識別マークの検出方法,識別性に優れたカーボンナノチューブ被覆電線を提供する。複数のカーボンナノチューブで構成されるカーボンナノチューブ集合体の単数または複数からなるカーボンナノチューブ線材と、カーボンナノチューブ線材を被覆する絶縁被覆層とを備え、絶縁被覆層は、識別マークを有する、カーボンナノチューブ被覆電線。,Hideki Aizawa; Satoshi Yamazaki; Tomohisa Yamashita; Kenji Hatamoto,"THE FURUKAW ELECTRIC CO.,LTD.",2018-10-26
JP5165737B2,JP,2013-03-21,火炎抑制システムおよび航空機用火炎抑制システム,"A fire suppression system (20) includes a container (22) for supplying a fire suppression agent into a compartment (A, B, C) to be protected. The container (22) communicates with a flow line (25) leading to the compartment (A ,B, C). A control (34) controls the fire suppression system, and a valve (30) on the flow line (25) delivers a variable pressure to the flow line (25) from the container (22). Further, a system is disclosed and claimed wherein a single gas supply communicates through a manifold (23) to each of a plurality of compartments (A, B, C). In addition, a system is disclosed and claimed wherein a primary gas supply container (22) switches to secondary gas supply containers (24) once a pressure within the primary gas supply (22) container drops below a predetermined amount.",Josephine Gabriel Gatosonides; Robert G. Dunster,"Kidda Technologies, Inc.",2010-08-17
JP7189882B2,JP,2022-12-14,カーボンナノチューブ被覆電線およびその施工方法、識別マークの検出方法,"Provided is a coated carbon nanotube electric wire superior in identifiability. The coated carbon nanotube electric wire includes: a carbon nanotube wire including one or a plurality of carbon nanotube aggregates formed by a plurality of carbon nanotubes; and an insulating coating layer coating the carbon nanotube wire, wherein the insulating coating layer has an identification mark.",Hideki Aizawa; Yamazaki Satoshi; Satoshi Yamashita; Kenji Hatamoto,"THE FURUKAW ELECTRIC CO.,LTD.",2018-10-26
JP7173680B2,JP,2022-11-16,軟質ポリウレタンフォーム用の反応性難燃剤混合物,"The present invention provides dialkyl phosphorus-containing compounds, namely reactive mono-hydroxyl-functional dialkyl phosphinates in a blend with a phosphate compound, said blend serving as highly efficient reactive flame retardant blend in flexible polyurethane foam. The invention further provides fire-retarded polyurethane compositions comprising said the reaction product of the flame retardant blend with polyol and isocyanate foam forming components.","Swell, Jeffrey; Chen, Jihao; Patel, Munjar","ICL-IP America, Inc.; ICL-IP AMERICA INC.",2018-07-23
